dt,pws
0,4404.84
0.001,4405.47
0.0013,4405.67
0.0018,4405.94
0.0023,4406.3
0.0031,4406.77
0.0041,4407.4
0.0054,4408.22
0.0072,4409.32
0.0095,4410.76
0.0126,4412.67
0.0168,4415.19
0.0222,4418.51
0.0295,4422.86
0.0391,4428.57
0.0518,4436.01
0.0687,4445.67
0.091,4458.12
0.1207,4474.05
0.16,4494.19
0.2121,4519.29
0.2812,4549.99
0.3728,4586.64
0.4942,4629.06
0.6551,4676.3
0.8685,4726.4
1.1514,4776.48
1.5264,4823.06
2.0236,4862.92
2.6827,4894
3.5565,4916.03
4.7149,4930.42
6.2506,4939.46
8.2864,4945.4
10.9854,4949.78
14.5635,4953.48
19.307,4956.87
25.5955,4960.09
33.9322,4963.21
44.9843,4966.24
59.6362,4969.19
79.0604,4972.07
104.8113,4974.88
138.9496,4977.59
184.207,4980.2
244.2053,4982.69
323.7458,4985.04
429.1934,4987.23
568.9866,4989.23
754.312,4991.05
1000,4992.65
